transformed_input_for_classification,sarcasm
"Speaker JOEY: Oh Monica, listen, I ah, I saw down at the hardware store, they got those designer tiles on sale. If you ever want to redo the bathroom floor. 
Speaker MONICA: Why, what's wrong with my bathroom floor? 
Speaker JOEY: Nothing. It's just old and dingy, that's all.",False
"Speaker SHELDON: Oh, good Lord. 
Speaker LEONARD: God, that's a good song. 
Speaker SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",True
"Speaker ROSS: OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment. 
Speaker RACHEL: OK. 
Speaker ROSS: OK. Here goes. For a while now, I've been wanting to, um.... 
Speaker RACHEL: Ohhh!!!!",False
"Speaker SHELDON: All right. 
Speaker SHELDON: I'm no stranger to a little gray matter. 
Speaker SHELDON: Locus coeruleus. 
Speaker SHELDON: Locus coeruleus. 
Speaker AMY: You're getting warmer-- it is, indeed, in the brain. 
Speaker AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",True
"Speaker PHOEBE: Oh so pretty, this must have cost him a fortune. 
Speaker CHANDLER: Oh c'mon Ross, remember back in college when he fell in love with Carol and bought the ridiculosly expensive crustal duck? 
Speaker RACHEL: What did you just say? 
Speaker CHANDLER: Crustal duck. 
Speaker RACHEL: No, no, no, the love part? Oh my god! 
Speaker JOEY: ThatÕs good, just keep rubbing your head. That will turn back time",True
"Speaker PERSON: You must've had your hands full 
Speaker CHANDLER: That I did. That I did. 
Speaker PERSON: So let's talk a little bit about your duties. 
Speaker CHANDLER: My duties?  All right.",False
"Speaker PENNY: Hey, guys, I need to use your TV. 
Speaker SHELDON: What's wrong with your TV? 
Speaker PENNY: I don't know. It just died. I'm getting a bunch of static.",False
"Speaker LEONARD: Do you think Penny's mad at me? 
Speaker BERNADETTE: Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming.",True
"Speaker PERSON: I've been talking to you for five minutes now about killing myself and no one's even looked up from their desk. Hang-hang on. Hey everybody! 
Speaker PERSON: Uh, I'm gonna kill myself!",False
"Speaker SHELDON: Okay, all right. 
Speaker SHELDON: That one was clever. 
Speaker SHELDON: Skeleton with phosphorous on a zip line. 
Speaker SHELDON: Come on out, merry pranksters. 
Speaker SHELDON: Take a bow. 
Speaker RAJ: You should've seen your face. 
Speaker SHELDON: Yes, there's nothing quite like the slightly widened eyes of mildly startled.",True
"Speaker RACHEL: Did you have fun at the bachelor's party last night? 
Speaker CHANDLER: Oh yeah, look what I got, she is fully dressed right. And then you click it and oh oh she naked. 
Speaker CHANDLER: And then and then you clicked it again, she's dressed. She is a business woman, she is walking down the street and oh oh oh she's naked.",False
