transformed_input_for_generation,target
"Speaker SHELDON: I was not panicked, and I am not overly attached to Leonard. 
Speaker LEONARD: You were so worried that you smashed your face trying to check on me.
You love me. 
Speaker SHELDON: Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain. 
Speaker SHELDON: Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there. 
Speaker BERNADETTE: ","I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair."
"Speaker SHELDON: That's why Leonard does it. 
Speaker PENNY: Okay, I just have one question. What exactly are sub-atomic particles? 
Speaker SHELDON: A good question. 
Speaker PENNY: Thank you. 
Speaker SHELDON: And to answer it, we first must ask ourselves: ""What is physics?"" Oh, balls. It's a warm summer evening in ancient Greece. 
Speaker HOWARD: ","Okay, I got a bone to pick with you."
"Speaker PENNY: I don't think I've eaten that much in my entire life. 
Speaker HOWARD: ",It's why my people wandered the desert for 40 years. Took that long to walk it off.
"Speaker MONICA: Chandler, I think I am sick 
Speaker CHANDLER: ",Really? Struck down in the prime of life.
"Speaker BLANCHE: Have you found her? 
Speaker DOROTHY: ","Oh yes Blanche, about a half hour ago. But now I have hidden her again so you can find her."
"Speaker SCOTT: It was quite hard .. Was just being sarcastic! 
Speaker MODERATOR: ",Nooo!
"Speaker HOWARD: And I love that you're strong and independent. 
Speaker BERNADETTE: And yet, I still love when you hold a door for me. 
Speaker HOWARD: I love that I'm kind of a slob around here, and...
you're okay with that. 
Speaker BERNADETTE: Uh-huh. 
Speaker BERNADETTE: ","And I love that I work and do all the cleaning, and you're okay with that."
"Speaker RAJ: Probably because I didn't read the instructions.
No wrapper's going to tell me what to do. 
Speaker RAJ: Unless his name is Jay-Z. 
Speaker PERSON: Is something going on? 
Speaker RAJ: What do you mean? 
Speaker PERSON: Well, you're acting all weird.
And I'm pretty weird, so I think I know what I'm talking about. 
Speaker RAJ: I don't know. Maybe it's all those steroids I've been taking. 
Speaker PERSON: ",I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks.
"Speaker MONICA: Yeah, come on, eat, whatever you want. Dr. Roger got beeped again. 
Speaker CHANDLER: Yeah I know, guess who beeped him? 
Speaker MONICA: What?! 
Speaker CHANDLER: ",I'm the ruptured spleen.
"Speaker ROSE: No more ice-skating 
Speaker ROSE: And I am not gonna go Niagra falls in a barrel. 
Speaker DOROTHY: ","No Rose, that you should do."
"Speaker JOEY: Oh, y'know the same thing happened to me one time. 
Speaker CHANDLER: When did that happen to you?! 
Speaker JOEY: Don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a picture,I didn't have my camera! 
Speaker CHANDLER: ","Oh yeah. First off all, chasing the Churo guy isn't jogging."
"Speaker CHANDLER: Well cathy's last boyfriend was Joey. 
Speaker ROSS: And you're afraid you wont be able to fill his shoes 
Speaker CHANDLER: ",I was saying the actual words
"Speaker CHANDLER: I can't figure this out! It's so hard! Should I get her a  Tiffany cut or a Princess cut or a,ah-ah! 
Speaker CHANDLER: ",Paper cut!
"Speaker LEONARD: Dr. Jeffries, hello again. Leonard Hofstadter. 
Speaker PERSON: Oh, oh, right, I remember your-your girlfriend. 
Speaker PERSON: Is-Is she... is she here? 
Speaker LEONARD: No, she's not. 
Speaker SHELDON: So, what prescription are you getting filled? 
Speaker LEONARD: - Sheldon. 
Speaker SHELDON: No. Wait, I want to guess. Don't tell me. 
Speaker PERSON: I wasn't going to tell you. 
Speaker SHELDON: ","- No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?"
"Speaker RAJ: Stupid Aquaman. 
Speaker LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. 
Speaker PERSON: Whoa. You dated Penny? 
Speaker LEONARD: She didn't tell you? 
Speaker PERSON: She told me she dated a guy named Leonard. 
Speaker PERSON: Who would have thought it was you? 
Speaker LEONARD: Who else would it be? 
Speaker PERSON: ","I don't know. Somebody bigger and... Yeah, sure. Why not you?"
"Speaker PHOEBE: See, if I am not buried with that ring then my spirit is going to wander the nether world for all eternity 
Speaker CHANDLER: Okay, that's enough honey! 
Speaker PERSON: I don't know. Let me see the ring. 
Speaker CHANDLER: ","Great! Okay, here."
"Speaker PERSON1: There's nothing weird going on with me and your mother. 
Speaker PERSON2: Stewie, your bath is getting cold! 
Speaker PERSON1: I got to go, bye. 
Speaker SHELDON: Penny?
Penny.
Penny.
Penny.
Penny. 
Speaker PENNY: You knocked more than usual. 
Speaker SHELDON: ","Next time I might be in a rush, it's good to have a few in the bank."
"Speaker PENNY: Leonard, what time does your mom's plane get in? 
Speaker LEONARD: I don't know-- some time tomorrow morning. 
Speaker PENNY: Don't you want to know for sure? 
Speaker LEONARD: ","No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force."
"Speaker HOWARD: I was thinking of weaving it into her eulogy. 
Speaker PERSON: Howard, you've got to tell your mother. 
Speaker HOWARD: Hey, have you told your parents you're dating this short glass of skim milk here? 
Speaker PERSON: Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children. 
Speaker HOWARD: ","Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons."
"Speaker DOROTHY: Sorry I snapped at your Rose. It's just that I am upset, I am very upset. 
Speaker ROSE: Is it because you threw Michael out? 
Speaker DOROTHY: ","No, its because I cannot make any sense of those commercials for obsession."
"Speaker SCOTT: Sorry, was that sarcasm? 
Speaker MODERATOR: ",Sarcasm? Noo.
"Speaker PENNY: Well, if I do well in sales, I could end up making a lot more money than you. 
Speaker LEONARD: Not a problem. I grew up with a mother who emasculated my father financially and in every other aspect of his life, so... 
Speaker LEONARD: ...really, it's what I think love looks like. 
Speaker BERNADETTE: I'll be right back. I'm gonna go check on him. 
Speaker PENNY: ",Maybe it's a good thing we came here. It's like a lesson in what not to do.
"Speaker ROSS: This is so exciting! I haven't seen my monkey in almost a year 
Speaker CHANDLER: ",Why? You never look down in the shower?  Oh please I am allowed one joke in the monkey is penis genre.
"Speaker SHELDON: Hello. 
Speaker PENNY: Hello 
Speaker SHELDON: Alright dispense with the friendlt banter 
Speaker SHELDON: I believe you know why I'm here. 
Speaker PENNY: ","Well, I always figured it was to study us, discover our weaknesses, and report back to your alien overlords."
"Speaker PERSON: Hey, you guys the water is great. You should really go in! 
Speaker CHANDLER: ","Oh, uh, no thanks. I just had an M&M."
